Virginia Vultures,VV
Ol,David Bakhtiari,24,2013,81,82,89,84,73,92,1,5
Ol,JC Tretter,25,2013,81,65,85,89,79,79,1,5
Ol,Corey Linsley,25,2014,77,75,91,95,89,87,1,5
Ol,Don Barclay,27,2012,60,75,89,82,77,79,1,5
Ol,Winston Watson,23,2016,86,81,88,97,87,76,1,5
K,Ian Frye,23,2016,58,75,92,87,79,77,1,5
S,Chris Banjo,26,2013,62,52,94,75,89,74,1,5
S,Micah Hyde,25,2013,76,73,93,82,88,45,1,5
Cb,Demetri Goodson,23,2014,72,62,75,78,89,56,1,5
Cb,Quinton Rollins,23,2015,88,49,92,83,88,74,1,5
Dl,Christian Ringo,24,2015,74,48,85,80,82,67,1,5
Dl,Mike Pennel,25,2013,62,64,92,87,76,78,1,5
Dl,George McCarthy,26,2014,90,65,85,90,89,86,1,5
Lb,Lerentee McCray,25,2013,61,66,74,73,79,58,1,5
Lb,Carl Bradford,23,2014,83,68,96,79,65,72,1,5
End Players
Dakota Danger,DD
Qb,Brock Jensen,24,2014,87,57,95,90,80,57,1,5
Qb,Keith Wenning,24,2014,73,64,91,81,89,89,1,5
Rb,Jordan Lynch,24,2014,71,77,92,84,86,65,1,5
Rb,Jovan Griffith,23,2016,82,65,85,68,97,87,1,5
Wr,Jeremy Gallon,23,2015,71,71,90,83,91,78,1,5
Wr,Corey Davis,23,2016,62,73,90,80,88,76,1,5
Wr,Dom Rufran,23,2015,86,69,94,72,88,95,1,5
Ol,TJ Clemmons,24,2015,83,45,92,84,85,78,1,5
Ol,Andre Smith,29,2009,92,78,88,97,85,88,1,5
Ol,Austin Shepherd,24,2015,68,67,92,73,77,71,1,5
Ol,Joe Berger,32,2006,63,77,90,85,84,79,1,5
Ol,Chief Yellowstar,26,2012,80,87,86,99,78,87,1,5
K,Jeff Budzien,23,2015,70,78,95,99,94,70,1,5
S,Melvin White,25,2012,62,69,80,83,88,58,1,5
S,Jimmie Ward,23,2014,85,81,94,74,87,88,1,5
Cb,Dante Deayon,23,2015,67,84,91,90,92,67,1,5
Cb,Jabiri Price,23,2014,67,48,87,79,90,45,1,5
Dl,Justin Trattou,27,2011,60,59,87,75,76,70,1,5
Dl,Kenrick Ellis,28,2011,79,69,88,92,81,85,1,5
Dl,Zach Moore,25,2014,72,49,92,78,71,79,1,5
Lb,Casey Matthews,27,2011,65,72,90,82,63,66,1,5
Lb,Travis Lewis,28,2012,70,70,87,80,60,68,1,5
End Players
El Paso Posse,EP
Qb,Jordan Palmer,28,2012,64,37,87,91,63,70,1,5
Qb,Jameil Showers,24,2015,64,37,87,91,63,70,1,5
Rb,Lache Seastrunk,24,2015,97,82,72,80,90,57,1,5
Rb,Charles Ross,24,2014,60,69,93,54,91,86,1,5
Wr,Antwan Goodley,24,2015,84,53,91,78,84,65,1,5
Wr,Deontay Greenberry,24,2014,64,55,89,82,88,72,1,5
Wr,Jakeem Grant,23,2014,77,65,90,82,87,62,1,5
Ol,Joe Looney,25,2012,81,68,85,82,79,68,1,5
Ol,Lael Collins,22,2015,63,50,92,83,88,76,1,5
Ol,Bryan Witzman,26,2014,63,64,94,80,81,71,1,5
Ol,Jared Smith,26,2013,69,64,74,84,80,72,1,5
Ol,JW Rogers,23,2015,75,86,95,83,93,81,1,5
K,Ryan Bustin,23,2014,72,75,92,92,89,82,1,5
S,Danny McCray,28,2010,65,68,89,74,85,73,1,5
S,JJ Wilcox,27,2013,81,67,90,76,91,87,1,5
Cb,Isaiah Frey,26,2012,72,67,92,81,89,73,1,5
Cb,Marcus Trice,23,2015,96,73,88,76,88,45,1,5
Dl,Jack Crawford,27,2012,75,67,84,69,82,76,1,5
Dl,Ryan Russell,24,2015,78,45,85,79,80,65,1,5
Dl,Casey Walker,26,2013,63,54,88,85,78,72,1,5
Lb,Brandon Hepburn,26,2013,69,66,91,82,62,72,1,5
Lb,Mark Nzeocha,26,2013,68,45,76,81,56,43,1,5
End Players
New Jersey Juggernauts,NJ
Qb,Mike Teel,26,2013,72,56,86,84,71,66,1,5
Qb,BJ Daniels,26,2013,67,45,85,84,71,37,1,5
Rb,Ray Rice,30,2007,73,82,94,90,84,60,1,5
Rb,Brandon Oliver,23,2015,64,49,92,75,78,42,1,5
Wr,Myles White,26,2013,62,57,91,76,90,85,1,5
Wr,Tiquan Underwood,28,2010,65,81,79,85,85,67,1,5
Wr,Tavarres King,24,2013,77,58,87,74,89,88,1,5
Ol,Bryan Stingley,27,2012,69,69,92,82,77,79,1,5
Ol,Shane McDermott,24,2015,64,64,90,82,70,76,1,5
Ol,Brandon Mosley,27,2012,65,56,88,93,82,71,1,5
Ol,Bobby Hart,23,2015,68,62,93,84,81,70,1,5
Ol,Dillon Ferrell,25,2014,62,58,92,84,80,73,1,5
K,Kyle Brindza,24,2015,62,84,90,89,92,64,1,5
S,Cooper Taylor,26,2013,77,59,99,75,88,73,1,5
S,Craig Dahl,30,2007,65,74,90,69,88,75,1,5
Cb,Trevin Wade,26,2012,66,47,87,73,88,44,1,5
Cb,Leon McFadden,25,2013,86,60,90,79,91,33,1,5
Dl,Stanley Maponga,25,2013,76,67,83,78,63,55,1,5
Dl,Kerry Wynn,25,2014,63,55,94,86,76,77,1,5
Dl,Montori Hughes,25,2013,76,65,94,84,81,80,1,5
Lb,Devon Kennard,23,2014,78,74,80,83,88,76,1,5
Lb,Kelvin Sheppard,28,2011,84,74,95,82,66,71,1,5
End Players
Deleware Freebirds,DE
Qb,Dominik Randolph,29,2010,57,70,90,82,75,45,1,5
Qb,Trent Herly,24,2014,98,76,71,87,75,29,1,5
Rb,Johnny Robertson,23,2013,72,45,93,55,87,92,1,5
Rb,Tyler Varga,22,2016,62,55,95,57,86,83,1,5
Wr,Mike Shanahan,25,2013,70,85,90,73,74,60,1,5
Wr,Robert Anheim,26,2012,65,67,92,77,82,55,1,5
Wr,Josh Huff,24,2014,82,66,87,80,88,84,1,5
Ol,Matt Tobin,26,2013,61,70,92,79,78,89,1,5
Ol,Barrett Jones,26,2013,83,72,80,80,78,86,1,5
Ol,Bryson Patterson,23,2015,76,84,83,79,92,87,1,5
Ol,Burt Tomberlain,24,2013,81,77,81,92,86,85,1,5
K,Sam Ficken,23,2015,62,69,92,94,91,71,1,5
S,Ed Reynolds,24,2014,78,48,86,76,90,79,1,5
Cb,Randall Evans,24,2015,74,53,90,76,90,51,1,5
Cb,Jaylen Watkins,23,2014,83,48,94,85,93,65,1,5
Dl,Mike Martin,25,2012,80,70,87,84,83,69,1,5
Dl,Beau Allen,24,2014,72,61,93,87,74,83,1,5
Lb,Najee Goode,27,2012,75,66,88,74,70,61,1,5
End Players
Tulsa Natives,TU
Qb,GJ Kinne,27,2012,80,66,88,84,71,30,1,5
Qb,Colt McCoy,29,2010,78,69,88,81,74,60,1,5
Rb,Joe Mixon,22,2017,25,2013,87,65,80,45,93,87,1,5
Rb,Silas Redd,24,2014,62,55,82,73,88,76,1,5
Wr,Josh Cooper,25,2013,95,75,85,85,92,85,1,5
Wr,Jaz Reynolds,26,2013,87,65,87,84,87,71,1,5
Wr,Bryan Burnham,26,2013,81,75,84,94,80,78,1,5
Ol,Al Bond,24,2015,64,60,92,80,84,67,1,5
Ol,Arie Kouandjio,24,2015,83,52,73,84,81,72,1,5
Ol,Austin Reiter,24,2015,74,56,91,77,77,72,1,5
Ol,Spencer Long,25,2014,82,74,78,88,83,78,1,5
Ol,Ty Nsekhe,30,2011,63,66,85,85,79,71,1,5
K,Michael Hunnicutt,25,2014,72,71,87,93,81,74,1,5
S,Kyshoen Jarrett,23,2015,73,45,82,62,90,83,1,5
S,Duke,Ihenacho,27,2012,61,72,89,68,88,85,1,5
Cb,Greg Toler,31,2009,72,79,87,86,88,55,1,5
Cb,Jeremy Harris,25,2013,72,63,93,75,88,50,1,5
Dl,Lynden Trail,25,2015,64,45,94,71,68,54,1,5
Dl,Jerrell Powe,29,2011,71,72,88,92,81,85,1,5
Lb,Will Compton,26,2013,62,68,91,80,72,70,1,5
Lb,Terrence Garvin,25,2013,61,62,92,78,64,65,1,5
End Players
Colombia Condors,CC
Qb,Stephen Garcia,26,2012,72,82,80,81,74,37,1,5
Qb,Matt Simms,27,2012,61,45,85,86,72,34,1,5
Rb,Marcus Lattimore,27,2015,88,53,87,93,87,69,1,5
Rb,Gus Johnson,22,2016,65,50,85,75,85,77,1,5
Wr,Pharoh Cooper,22,2015,67,78,85,88,87,96,1,5
Wr,Aldrick Robinson,27,2012,71,71,90,74,91,88,1,5
Wr,CJ Goodwin,26,2014,64,45,91,68,91,64,1,5
Ol,Ben Garland,28,2010,62,61,92,77,79,78,1,5
Ol,Bryce Harris,27,2012,60,66,92,82,79,76,1,5
Ol,James Stone,24,2014,65,75,91,79,75,86,1,5
Ol,Max Hartman,24,2014,99,75,98,85,80,82,1,5
K,Justin Moore,24,2014,78,84,92,92,97,76,1,5
S,Akeem King,23,2015,68,45,92,70,89,65,1,5
S,Kemal Ishmael,25,2013,66,68,90,76,91,79,1,5
Cb,Ricardo Allen,24,2014,78,51,93,77,89,65,1,5
Cb,Demarcus Van Dyke,27,2011,81,67,89,78,93,56,1,5
Dl,Malliciah Goodman,26,2013,76,69,95,84,76,76,1,5
Dl,Grady Jarrett,23,2015,78,51,84,87,79,64,1,5
Lb,Tyler Starr,25,2014,67,45,94,76,74,68,1,5
Lb,Laroy Reynolds,25,2013,61,67,88,78,70,66,1,5
End Players
Winston-Salem Mountain-Cats,WS
Qb,Riley Skinner,29,2009,63,72,90,92,72,37,1,5
Qb,Joe Webb,29,2010,68,66,88,89,66,77,1,5
Rb,Josh Harris,29,2009,86,79,75,78,86,96,1,5
Rb,Brandon Wegher,24,2016,61,66,80,56,87,72,1,5
Wr,Armanti Edwards,26,2011,95,80,90,91,85,92,1,5
Wr,Chris Givens,26,2012,62,71,93,79,88,87,1,5
Wr,Conner Vernon,26,2012,62,77,90,78,84,65,1,5
Ol,Andy Norwell,24,2014,62,72,92,81,88,84,1,5
Ol,Tyler Larson,24,2014,64,58,96,93,75,77,1,5
Ol,Tyrone Green,30,2009,65,69,88,84,80,73,1,5
OL,David Yankey,24,2014,78,63,90,84,85,75,1,5
Ol,Reese Dismukes,23,2015,64,63,85,84,78,72,1,5
K,Jimmy Newman,25,2014,58,81,90,98,89,77,1,5
S,Alphonso Smith,27,2012,79,72,92,83,88,87,1,5
S,Tre Boston,23,21014,77,71,92,83,88,86,1,5
Cb,Bene Benwikere,24,2014,65,77,93,91,86,45,1,5
Cb,Trenton Robinson,26,2012,70,62,84,75,93,65,1,5
Dl,Robert Thomas,25,2014,64,53,84,94,74,76,1,5
Dl,Wes Horton,26,2013,61,75,88,76,81,73,1,5
Dl,Matthew Masifilo,26,2012,63,67,92,93,58,48,1,5
Lb,Stanley Arnoux,30,2006,83,89,79,99,92,99,1,5
Lb,Ben Jacobs,28,2011,61,70,95,78,74,69,1,5
End Players
Memphis Riverboats,MR
Qb,Matt Flynn,28,2009,72,76,82,83,87,75,1,5
Qb,Logan Kilgore,26,2012,83,65,82,83,73,54,1,5
Rb,Marcus Murphy,24,2015,68,48,77,43,86,86,1,5
Rb,Vick Ballard,26,2013,74,75,85,86,82,55,1,5
Wr,Vincent Brown,27,2011,80,76,87,78,84,72,1,5
Wr,Da'Rick Rogers,25,2014,92,75,92,87,95,92,1,5
Wr,Brent Leonard,26,2015,85,73,85,86,87,68,1,5
Ol,Mike McGlyn,31,2008,65,81,93,87,71,77,1,5
Ol,Carl Parker,24,2014,81,72,93,83,88,86,1,5
Ol,Elvis Anders,22,2015,93,65,90,86,82,88,1,5
K,Michael Palardy,26,2014,60,73,87,88,90,66,1,5
S,Jamarca Sanford,30,2009,62,73,92,71,92,87,1,5
S,Brandon Dixon,26,2014,73,50,90,76,90,49,1,5
Cb,Kyle Wilson,29,2010,83,73,96,74,90,1,5
Cb,Brian Dixon,26,2014,62,62,93,77,89,75,1,5
Dl,Tyler Davison,23,2015,78,49,88,91,77,85,1,5
Dl,Lawrence Virgil,25,2014,65,49,94,94,81,71,1,5
Dl,Obum Gwacham,25,2015,73,38,87,74,60,59,1,5
Lb,Anthony Spencer,32,2007,65,80,83,72,65,80,1,5
Lb,Kasim Edebali,26,2014,62,64,91,71,80,65,1,5
End Players
Caribbean Blackbeards,CB
Qb,Andre Woodson,28,2012,93,79,97,95,76,67,1,5
Qb,Rusty Smith,26,2013,86,69,96,93,93,73,32,1,5
Rb,Anthon Samuel,25,2013,71,65,85,76,87,64,1,5
Rb,Demetrius Murray,27,2013,85,75,88,67,88,75,1,5
Wr,Freddie Martino,24,2014,64,55,90,77,89,79,1,5
Wr,Bernard Reedy,24,2014,64,61,90,80,88,81,1,5
Wr,Russell Shepard,25,2013,61,49,93,79,89,72,1,5
Ol,Kevin Pamphile,25,2014,77,65,93,82,85,74,1,5
Ol,Josh Allen,24,2014,64,50,90,89,78,74,1,5
K,Jake Wieclaw,26,2014,90,65,85,95,95,75,1,5
S,Gerod Holliman,22,2015,65,42,86,82,90,62,1,5
Cb,Mike Jenkins,31,2008,65,75,92,74,92,44,1,5
Dl,Cliff Matthews,26,2013,65,60,84,76,74,67,1,5
Dl,AJ Francis,26,2013,62,49,90,79,73,87,1,5
Dl,TJ Fatinikun,24,2014,65,63,82,74,67,65,1,5
Lb,Danny Lansanah,30,2008,65,78,90,86,72,79,1,5
Lb,Adarius Glanton,25,2014,63,54,90,79,64,56,1,5
End Players
Tuscon Thrashers,TT
Qb,Matt Barkley,25,2013,81,54,87,84,75,48,1,5
Qb,Taylor Kelly,24,2014,80,69,86,89,72,30,1,5
Rb,Stepfan Taylor,25,2013,76,67,92,88,79,68,1,5
Rb,Kerwynn Williams,25,2013,67,58,91,54,88,88,1,5
Wr,Brittan Golden,27,2012,62,55,92,77,88,82,1,5
Wr,Austin Hill,24,2014,82,77,88,88,93,95,1,5
Wr,JJ Nelson,24,2015,78,51,79,80,98,77,1,5
Ol,Taylor Boggs,29,2011,60,70,85,86,78,71,1,5
Ol,Earl Watford,25,2013,81,65,95,85,81,73,1,5
Ol,Antoine McClain,26,2012,63,62,85,81,77,72,1,5
K,John Bonano,24,2015,62,73,93,95,91,70,1,5
S,Chris Clemons,30,2009,72,74,94,75,94,83,1,5
Cb,Carrington Byndom,23,2014,63,48,93,78,93,38,1,5
Cb,Asa Jackson,26,2012,75,62,85,72,91,40,1,5
Dl,Olson Pierre,24,2015,64,53,90,75,75,81,1,5
Dl,Josh Mauro,25,2014,62,61,95,85,71,78,1,5
Dl,Ed Stinson,26,2014,77,56,79,88,78,83,1,5
Lb,Kenny Demens,26,2013,65,62,94,80,77,68,1,5
End Players
Los Angeles Gladiators,LA
Qb,Colt Casey,32,2007,77,65,89,88,76,56,1,5
Qb,Dylan Thompson,24,2015,64,49,90,86,77,76,1,5
Rb,Chase Reynolds,28,2011,61,65,85,66,85,81,1,5
Rb,Will Gregory,23,2015,66,72,84,84,87,54,1,5
Wr,Deon Long,25,2015,64,45,82,81,89,65,1,5
Wr,Billy Ray Stutzmann,25,2013,84,74,94,79,81,63,1,5
Wr,Royce Pollard,25,2013,73,81,82,85,72,68,1,5
Ol,Mai Tuiai,27,2010,72,76,97,86,87,74,1,5
Ol,Kenny Kamealoha,26,2013,83,83,84,84,74,86,1,5
Ol,Kiko Kekoa,24,2015,73,50,92,79,74,76,1,5
Ol,Brian Folkerts,26,2012,61,61,95,91,79,75,1,5
K,Tyler Hadden,24,2014,75,74,95,95,88,70,1,5
S,Damian Dunn,24,2014,93,95,93,90,93,93,1,5
Cb,Marcus Robinson,23,2014,93,90,91,92,90,90,1,5
Dl,Dominique David,24,2014,95,92,91,88,89,87,1,5
Dl,Cam Thomas,26,2013,98,94,95,94,92,94,1,5
Lb,Bryce Hager,24,2015,98,89,94,90,85,89,1,5
End Players
Portland Frontier,PF
Qb,Sean Mannion,27,2012,80,84,94,98,95,97,1,5
Qb,Keith Price,26,2013,80,76,81,93,70,67,1,5
Rb,Derrick Coleman,25,2012,55,72,87,82,87,61,1,5
Rb,James Rogers,28,2011,86,65,80,89,90,65,1,5
Wr,George Farmer,22,2016,64,48,75,77,93,55,1,5
Wr,Kasen Williams,25,2012,88,63,81,82,92,87,1,5
Wr,Chris McNeil,26,2014,59,85,93,88,87,86,1,5
Ol,Pat Lewis,25,2013,61,62,95,84,71,76,1,5
Ol,Kristjan Sokoli,24,2015,73,37,90,89,75,65,1,5
Ol,Mark Glowinski,24,2015,78,55,92,91,80,76,1,5
Ol,Gary Gilliam,25,2014,62,60,84,77,80,75,1,5
K,Vincenzo D'Amato,25,2014,56,83,90,89,93,65,1,5
S,Kelcie McCray,27,2012,61,65,90,72,87,52,1,5
S,Deshawn Shead,28,2010,60,68,90,73,88,73,1,5
Cb,Eric Pinkins,24,2014,72,52,92,67,54,66,1,5
Cb,Stanley Jean-Baptiste,26,2014,87,46,93,83,91,61,1,5
Dl,Justin Hamilton,22,2015,63,50,87,85,83,62,1,5
Lb,Nick Moody,26,2013,65,68,77,77,71,75,1,5
Lb,Khairi Fortt,24,2014,78,57,78,73,68,64,1,5
End Players
San Jose Gold,SJ
Qb,David Fales,25,2014,84,75,95,95,78,80,1,5
Qb,Kevin Hogan,24,2015,82,77,92,89,83,81,1,5
Rb,Shaun Draughn,28,2011,61,72,87,80,82,65,1,5
Rb,Jarod Lawson,24,2014,69,78,92,66,81,45,1,5
Wr,DeAndre Smelter,24,2015,79,48,73,79,87,77,1,5
Wr,Dres Anderson,23,2015,63,62,75,80,88,84,1,5
Wr,Quinton Patton,25,2014,76,54,90,83,87,85,1,5
Ol,Andrew Tiller,26,2012,71,55,91,79,81,72,1,5
Ol,Ian Silberman,23,2015,73,51,87,83,87,81,1,5
Ol,Brandon Thomas,25,2014,83,54,76,93,83,76,1,5
K,Austin Lopez,23,2014,47,92,82,91,89,60,1,5
S,LJ McCray,25,2014,62,48,88,69,92,75,1,5
Cb,Keith Reaser,24,2014,78,38,76,74,88,45,1,5
Cb,Chris Davis,25,2014,62,60,93,76,87,78,1,5
Dl,Kaleb Ramsey,27,2012,68,52,72,94,78,84,1,5
Lb,Nick Bellore,27,2012,59,70,87,86,64,72,1,5
Lb,Gerald Hodges,25,2013,81,78,88,89,58,80,1,5
End Players
